pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
news-common:2143,news-common:2143,,test,"Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .","hackett and rossignol do not know each other and hackett have no connection to colby , doyle say .","state police lt. timothy doyle say hackett and rossignol do not know each other , and that hackett have no connection to the college .",0.33333333333333337,18-24 0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 9-17 10-18 11-19 12-20 13-21 16-4 17-5 16-3 8-15 ,{},{},{},0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24 ,14-23 ,{},{}
news-common:723,news-common:723,,test,'' the woman was taken to New Charing Cross Hospital by ambulance and her condition is critical .,"she was taken to Charing Cross Hospital , where she remained critically ill last night .",'' the woman be take to new char cross hospital by ambulance and her condition be critical .,"she be take to char cross hospital , where she remain critically ill last night .",0.72,17-15 3-1 4-2 5-3 7-4 8-5 9-6 16-11 ,{},{},{},3-1 4-2 5-3 7-4 8-5 9-6 17-15 ,2-0 13-9 14-10 14-11 14-12 15-10 15-11 15-12 16-10 16-11 16-12 ,{},{}
news-common:1629,news-common:1629,,test,there 's also a flaw that results because IE does not implement an appropriate block on a file download dialog box .,the second vulnerability is a result of IE not implementing a block on a file download dialog box .,there 's also a flaw that result because ie do not implement an appropriate block on a file download dialog box .,the second vulnerability be a result of ie not implement a block on a file download dialog box .,0.5384615384615384,21-18 14-11 15-12 16-13 17-14 18-15 19-16 20-17 10-8 11-9 8-7 6-5 12-10 ,{},{},{},4-2 6-3 6-4 6-5 8-7 9-9 10-8 11-9 12-10 14-11 15-12 16-13 17-14 18-15 19-16 20-17 21-18 ,2-1 3-0 7-6 ,{},{}
news-common:510,news-common:510,,test,world economic leaders hailed signs of a global revival on Tuesday but agreed it had to be handled with care to prevent any setback .,"Dubai , September 23 : the world economic leaders hailed on Tuesday signs of a global revival but agreed it had to be handled with care to prevent any setback .",world economic leader hail sign of a global revival on tuesday but agree it have to be handle with care to prevent any setback .,"dubai , september 23 : the world economic leader hail on tuesday sign of a global revival but agree it have to be handle with care to prevent any setback .",0.19999999999999996,24-30 11-17 12-18 13-19 14-20 15-21 16-22 17-23 18-24 19-25 20-26 21-27 22-28 23-29 4-12 5-13 6-14 7-15 8-16 0-6 1-7 2-8 3-9 9-10 10-11 ,{},{},{},0-6 1-7 2-8 3-9 4-12 5-13 6-14 7-15 8-16 9-10 10-11 11-17 12-18 13-19 14-20 15-21 16-22 17-23 18-24 19-25 20-26 21-27 22-28 23-29 24-30 ,{},{},{}
news-common:943,news-common:943,,test,"'' the bank requires growth from elsewhere in the economy and needs the economy to rebalance '' , he said in an interview with the Press Association news agency .","the Bank of England '' requires growth from elsewhere in the economy and needs the economy to rebalance '' , he told the Press Association news agency .","'' the bank require growth from elsewhere in the economy and need the economy to rebalance '' , he say in an interview with the press association news agency .","the bank of england '' require growth from elsewhere in the economy and need the economy to rebalance '' , he tell the press association news agency .",0.2592592592592593,29-27 3-5 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 24-22 25-23 26-24 27-25 28-26 1-0 2-1 19-21 0-4 ,{},{},{},0-4 1-0 2-1 3-5 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 24-22 25-23 26-24 27-25 28-26 29-27 ,{},{},{}
news-common:2214,news-common:2214,,test,"nor has it said how many astronauts will be on board , through there reportedly will be between one and three .","nor has it said how many astronauts will be on board , through there reportedly could be as many as three .","nor have it say how many astronaut will be on board , through there reportedly will be between one and three .","nor have it say how many astronaut will be on board , through there reportedly could be as many a three .",0.26086956521739135,21-21 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 20-20 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 20-20 21-21 ,{},{},{}
news-common:1696,news-common:1696,,test,"still , Mauresmo has the confidence of having beaten Serena for the first time and also is buoyed by Venus Williams ' upset loss Sunday to Vera Zvonareva .",she has the confidence of having beaten her for the first time and she is buoyed by Venus Williams ' upset loss of two days ago .,"still , mauresmo have the confidence of have beat serena for the first time and also be buoy by venus williams ' upset loss sunday to vera zvonareva .",she have the confidence of have beat her for the first time and she be buoy by venus williams ' upset loss of two day ago .,0.4375,28-26 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 3-1 4-2 5-3 6-4 7-5 8-6 10-8 11-9 12-10 13-11 14-12 ,{},{},{},3-1 4-2 5-3 6-4 7-5 8-6 10-8 11-9 12-10 13-11 14-12 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 28-26 ,2-0 2-13 9-7 ,{},{}
news-common:2001,news-common:2001,,test,"'' they were an inspirational couple , selfless and courageous '' , said the Oscar-winning film director .","he said : '' they were an inspirational couple , selfless and courageous .","'' they be an inspirational couple , selfless and courageous '' , say the oscar-winning film director .","he say : '' they be an inspirational couple , selfless and courageous .",0.33333333333333337,17-13 0-3 1-4 2-5 3-6 4-7 5-8 6-9 7-10 8-11 9-12 12-1 ,{},{},{},0-3 1-4 2-5 3-6 4-7 5-8 6-9 7-10 8-11 9-12 12-1 17-13 ,15-0 16-0 ,{},{}
news-common:2127,news-common:2127,,test,"'' we make no apologies for finding every legal way possible to protect the American public from further terrorist attacks '' , she said .","'' we make no apologies for finding every legal way possible to protect the American public from further terrorist attack '' , said Barbara Comstock , Justice Department spokeswoman .","'' we make no apology for find every legal way possible to protect the american public from further terrorist attack '' , she say .","'' we make no apology for find every legal way possible to protect the american public from further terrorist attack '' , say barbara comstock , justice department spokeswoman .",0.2068965517241379,24-29 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 23-22 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 23-22 24-29 ,22-23 22-24 ,{},{}
news-common:442,news-common:442,,test,"Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said it appeared to have veered from its flight path because of the fog .","Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said initial information indicated it had veered from its flight path because of fog .","volodymyr gorbanovsky , deputy general director of the plane 's owner , mediterranean airline , say it appear to have veer from it flight path because of the fog .","volodymyr gorbanovsky , deputy general director of the plane 's owner , mediterranean airline , say initial information indicate it have veer from it flight path because of fog .",0.1785714285714286,29-29 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 28-28 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-19 17-18 19-20 19-21 20-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 28-28 29-29 ,{},{},{}
news-common:2718,news-common:2718,,test,the retailer said it came to the decision after hearing the opinions of customers and associates .,"the decision came after '' listening to our customers and associates '' , Melissa Berryhill , a spokeswoman for Wal-Mart , said .",the retailer say it come to the decision after hear the opinion of customer and associate .,"the decision come after '' listen to our customer and associate '' , melissa berryhill , a spokeswoman for wal-mart , say .",0.6,16-22 13-8 14-9 15-10 6-0 7-1 2-21 4-2 9-5 5-6 ,{},{},{},2-21 4-2 6-0 7-1 8-3 9-5 9-6 13-8 14-9 15-10 16-22 ,1-17 1-18 1-19 ,{},{}
news-common:1296,news-common:1296,,test,"'' we will accede to the request while we explore all of our options '' , VeriSign spokesman Tom Galvin told Reuters .","we will accede to the request while we explore all of our options '' , said Russell Lewis , executive vice president of VeriSign 's Naming and Directory Services Group .","'' we will accede to the request while we explore all of our option '' , verisign spokesman tom galvin tell reuters .","we will accede to the request while we explore all of our option '' , say russell lewis , executive vice president of verisign 's naming and directory service group .",0.5151515151515151,22-30 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-23 20-15 ,{},{},{},1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 13-12 14-13 15-14 16-23 22-30 ,{},{},{}
news-common:1411,news-common:1411,,test,two Atlanta companies that have not been accused of wrongdoing -- Delta Air Lines Inc. and the Home Depot -- were mentioned as having excessive pay packages for its CEOs .,two Atlanta-based companies that have not been accused of wrongdoing -- Delta Air Lines and Home Depot -- were also mentioned by witnesses as having excessive pay packages for CEOs .,two atlanta company that have not be accuse of wrongdoing -- delta air line inc. and the home depot -- be mention a have excessive pay package for it ceo .,two atlanta-based company that have not be accuse of wrongdoing -- delta air line and home depot -- be also mention by witness a have excessive pay package for ceo .,0.25,30-30 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 22-23 23-24 24-25 25-26 26-27 27-28 17-15 18-16 19-17 20-18 29-29 0-0 21-20 1-1 15-14 ,{},{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 15-14 17-15 18-16 19-17 20-18 21-20 22-23 23-24 24-25 25-26 26-27 27-28 29-29 30-30 ,{},{},{}
news-common:2006,news-common:2006,,test,the US investment bank said : '' we believe the long-term prospects for the energy sector in the UK remain attractive '' .,"'' we believe the long-term prospects for the energy sector in the UK remain attractive '' , Goldman said .",the u investment bank say : '' we believe the long-term prospect for the energy sector in the uk remain attractive '' .,"'' we believe the long-term prospect for the energy sector in the uk remain attractive '' , goldman say .",0.2857142857142857,22-19 6-0 7-1 8-2 9-3 10-4 11-5 12-6 13-7 14-8 15-9 16-10 17-11 18-12 19-13 20-14 21-15 4-18 ,{},{},{},4-18 6-0 7-1 8-2 9-3 10-4 11-5 12-6 13-7 14-8 15-9 16-10 17-11 18-12 19-13 20-14 22-16 ,{},{},{}
news-common:963,news-common:963,,test,"Tom Kasmer , a 14-year-old from Belmont , N.C. , got a word that sounded like '' zistee '' during yesterday 's competition .","the 14-year-old national spelling finalist who attends school in Belmont , N.C. , got a word that sounded like '' zistee '' during competition Wednesday .","tom kasmer , a 14-year-old from belmont , n.c. , get a word that sound like '' zistee '' during yesterday 's competition .","the 14-year-old national spelling finalist who attend school in belmont , n.c. , get a word that sound like '' zistee '' during competition wednesday .",0.48275862068965514,23-25 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21 19-22 22-23 20-24 4-1 ,{},{},{},4-1 6-9 7-10 8-11 9-12 10-13 11-14 12-15 13-16 14-17 15-18 16-19 17-20 18-21 19-22 22-23 23-25 ,3-0 5-5 5-6 5-7 5-8 20-24 ,{},{}
news-common:1486,news-common:1486,,test,about 10 percent of high school and 16 percent of elementary students must be proficient at math .,"in math , 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient .",about 10 percent of high school and 16 percent of elementary student must be proficient at math .,"in math , 16 percent of elementary and middle school student and 9.6 percent of high school student must be proficient .",0.35,17-21 2-13 3-14 4-15 5-16 7-3 8-4 9-5 10-6 11-17 12-18 13-19 14-20 16-1 ,{},{},{},0-12 1-12 2-13 3-14 4-15 5-16 7-3 8-4 9-5 10-6 11-10 12-18 13-19 14-20 16-1 17-21 ,11-17 15-0 ,{},{}
news-common:2988,news-common:2988,,test,"they said many had been beaten , and police officers also stormed private wards at the hospital and harassed patients .",they said the police officers also entered various private wards at the clinic and attacked patients .,"they say many have be beat , and police officer also storm private ward at the hospital and harass patient .",they say the police officer also enter various private ward at the clinic and attack patient .,0.5,20-16 12-8 13-9 14-10 15-11 8-3 9-4 10-5 0-0 1-1 19-15 16-12 2-7 11-14 17-13 ,{},{},{},0-0 1-1 8-3 9-4 10-5 11-6 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15 20-16 ,{},{},{}
