HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.pairID,Input.documentID,Input.segmentID,Input.hitType,Input.source,Input.target,Input.sourceLemmatized,Input.targetLemmatized,Input.jaccardDistance,Input.lengthDifference,Input.sureAlignments,Input.possAlignments,Input.sourceHighlights,Input.targetHighlights,Input.answerSureAlignments,Input.answerPossAlignments,Input.answerSourceHighlights,Input.answerTargetHighlights,Answer.activeTime,Answer.comment,Answer.endTime,Answer.possAlignments,Answer.sourceHighlights,Answer.startTime,Answer.submit,Answer.sureAlignments,Answer.targetHighlights,Approve,Reject
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:2143,,,test,"Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .","hackett and rossignol do not know each other and hackett have no connection to colby , doyle say .","state police lt. timothy doyle say hackett and rossignol do not know each other , and that hackett have no connection to the college .",0.33333333333333337,6,,,,,0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24 ,14-23 ,,,,,,14-23 ,,,,0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:723,,,test,'' the woman was taken to New Charing Cross Hospital by ambulance and her condition is critical .,"she was taken to Charing Cross Hospital , where she remained critically ill last night .",'' the woman be take to new char cross hospital by ambulance and her condition be critical .,"she be take to char cross hospital , where she remain critically ill last night .",0.72,2,,,,,3-1 4-2 5-3 7-4 8-5 9-6 17-15 ,2-0 13-9 14-10 14-11 14-12 15-10 15-11 15-12 16-10 16-11 16-12 ,,,,,,2-0 2-9 14-10 16-11 16-12 ,,,,3-1 4-2 5-3 7-4 8-5 9-6 17-15 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:1629,,,test,there 's also a flaw that results because IE does not implement an appropriate block on a file download dialog box .,the second vulnerability is a result of IE not implementing a block on a file download dialog box .,there 's also a flaw that result because ie do not implement an appropriate block on a file download dialog box .,the second vulnerability be a result of ie not implement a block on a file download dialog box .,0.5384615384615384,3,,,,,4-2 6-3 6-4 6-5 8-7 9-9 10-8 11-9 12-10 14-11 15-12 16-13 17-14 18-15 19-16 20-17 21-18 ,2-1 3-0 7-6 ,,,,,,0-1 1-1 2-1 3-0 ,,,,4-2 6-3 6-5 7-6 8-7 10-8 11-9 12-10 14-11 15-12 16-13 17-14 18-15 19-16 20-17 21-18 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:510,,,test,world economic leaders hailed signs of a global revival on Tuesday but agreed it had to be handled with care to prevent any setback .,"Dubai , September 23 : the world economic leaders hailed on Tuesday signs of a global revival but agreed it had to be handled with care to prevent any setback .",world economic leader hail sign of a global revival on tuesday but agree it have to be handle with care to prevent any setback .,"dubai , september 23 : the world economic leader hail on tuesday sign of a global revival but agree it have to be handle with care to prevent any setback .",0.19999999999999996,6,,,,,0-6 1-7 2-8 3-9 4-12 5-13 6-14 7-15 8-16 9-10 10-11 11-17 12-18 13-19 14-20 15-21 16-22 17-23 18-24 19-25 20-26 21-27 22-28 23-29 24-30 ,{},,,,,,{},,,,0-6 1-7 2-8 3-9 4-12 5-13 6-14 7-15 8-16 9-10 10-11 11-17 12-18 13-19 14-20 15-21 16-22 17-23 18-24 19-25 20-26 21-27 22-28 23-29 24-30 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:943,,,test,"'' the bank requires growth from elsewhere in the economy and needs the economy to rebalance '' , he said in an interview with the Press Association news agency .","the Bank of England '' requires growth from elsewhere in the economy and needs the economy to rebalance '' , he told the Press Association news agency .","'' the bank require growth from elsewhere in the economy and need the economy to rebalance '' , he say in an interview with the press association news agency .","the bank of england '' require growth from elsewhere in the economy and need the economy to rebalance '' , he tell the press association news agency .",0.2592592592592593,2,,,,,0-4 1-0 2-1 3-5 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-21 21-21 22-21 23-21 24-22 25-23 26-24 27-25 28-26 29-27 ,{},,,,,,{},,,,0-4 1-0 2-1 3-5 4-6 5-7 6-8 7-9 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 24-22 25-23 26-24 27-25 28-26 29-27 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:2214,,,test,"nor has it said how many astronauts will be on board , through there reportedly will be between one and three .","nor has it said how many astronauts will be on board , through there reportedly could be as many as three .","nor have it say how many astronaut will be on board , through there reportedly will be between one and three .","nor have it say how many astronaut will be on board , through there reportedly could be as many a three .",0.26086956521739135,0,,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 20-20 21-21 ,{},,,,,,15-15 15-16 16-15 16-16 17-17 17-18 17-19 18-17 18-18 18-19 19-17 19-18 19-19 ,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 20-20 21-21 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:1696,,,test,"still , Mauresmo has the confidence of having beaten Serena for the first time and also is buoyed by Venus Williams ' upset loss Sunday to Vera Zvonareva .",she has the confidence of having beaten her for the first time and she is buoyed by Venus Williams ' upset loss of two days ago .,"still , mauresmo have the confidence of have beat serena for the first time and also be buoy by venus williams ' upset loss sunday to vera zvonareva .",she have the confidence of have beat her for the first time and she be buoy by venus williams ' upset loss of two day ago .,0.4375,2,,,,,3-1 4-2 5-3 6-4 7-5 8-6 10-8 11-9 12-10 13-11 14-12 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 28-26 ,2-0 2-13 9-7 24-23 24-24 24-25 ,,,,,,2-0 2-13 9-7 ,,,,3-1 4-2 5-3 6-4 7-5 8-6 10-8 11-9 12-10 13-11 14-12 16-14 17-15 18-16 19-17 20-18 21-19 22-20 23-21 28-26 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:2001,,,test,"'' they were an inspirational couple , selfless and courageous '' , said the Oscar-winning film director .","he said : '' they were an inspirational couple , selfless and courageous .","'' they be an inspirational couple , selfless and courageous '' , say the oscar-winning film director .","he say : '' they be an inspirational couple , selfless and courageous .",0.33333333333333337,4,,,,,0-3 1-4 2-5 3-6 4-7 5-8 6-9 7-10 8-11 9-12 12-1 17-13 ,14-0 15-0 16-0 ,,,,,,15-0 16-0 ,,,,0-3 1-4 2-5 3-6 4-7 5-8 6-9 7-10 8-11 9-12 12-1 17-13 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:2127,,,test,"'' we make no apologies for finding every legal way possible to protect the American public from further terrorist attacks '' , she said .","'' we make no apologies for finding every legal way possible to protect the American public from further terrorist attack '' , said Barbara Comstock , Justice Department spokeswoman .","'' we make no apology for find every legal way possible to protect the american public from further terrorist attack '' , she say .","'' we make no apology for find every legal way possible to protect the american public from further terrorist attack '' , say barbara comstock , justice department spokeswoman .",0.2068965517241379,5,,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 23-22 24-29 ,22-23 22-24 ,,,,,,22-23 22-24 ,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 23-22 24-29 ,,,
N/A,,,,,,,,,,,,,,,Edinburgh annotator,,,,,,,,,,,,news-common:442,,,test,"Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said it appeared to have veered from its flight path because of the fog .","Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said initial information indicated it had veered from its flight path because of fog .","volodymyr gorbanovsky , deputy general director of the plane 's owner , mediterranean airline , say it appear to have veer from it flight path because of the fog .","volodymyr gorbanovsky , deputy general director of the plane 's owner , mediterranean airline , say initial information indicate it have veer from it flight path because of fog .",0.1785714285714286,0,,,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-19 17-18 19-20 19-21 20-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 28-28 29-29 ,{},,,,,,{},,,,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-19 17-17 17-18 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 28-28 29-29 ,,,
