"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.source","Input.target","Input.docID","Input.type","Input.sureAlignments","Input.possAlignments","Input.sourceHighlights","Input.targetHighlights","Input.answerSureAlignments1","Input.answerPossAlignments1","Input.answerSourceHighlights1","Input.answerTargetHighlights1","Input.answerSureAlignments2","Input.answerPossAlignments2","Input.answerSourceHighlights2","Input.answerTargetHighlights2","Answer.activeTime","Answer.comment","Answer.endTime","Answer.possAlignments","Answer.sourceHighlights","Answer.startTime","Answer.submit","Answer.sureAlignments","Answer.targetHighlights","Approve","Reject"
"3LEG2HW4UFN7HTVT95W2CQA9MWCF2I","3G0DIRF6ZY7958VLIU3OKGK0Z8P95V","Aligning Words in Paraphrased Sentence Pairs (Passed Alignment Training)","You will be presented two sentences that are paraphrases of each other. Select the words in each that correspond to each other.","align sentence paraphrase pairs words","$0.20","Fri Jul 01 17:54:27 PDT 2016","10","BatchId:2450743;","3600","2592000","Sun Jul 31 17:54:27 PDT 2016","","","352YTHGROVD3KNYFYB8RWAF7WGIH4B","A5ACBHV38DICN","Submitted","Sat Jul 02 22:33:51 PDT 2016","Sat Jul 02 22:37:15 PDT 2016","Mon Aug 01 22:37:15 PDT 2016","","","","204","0% (0/0)","0% (0/0)","0% (0/0)","Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .","news-common:2143","test","18-24 0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 9-17 10-18 11-19 12-20 13-21 16-4 17-5 16-3 8-15","{}","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","152855","","1467524185022","14-23","{}","1467524032167","Submit","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-3 16-4 17-5 18-24","0 1 2"
"3LEG2HW4UFN7HTVT95W2CQA9MWCF2I","3G0DIRF6ZY7958VLIU3OKGK0Z8P95V","Aligning Words in Paraphrased Sentence Pairs (Passed Alignment Training)","You will be presented two sentences that are paraphrases of each other. Select the words in each that correspond to each other.","align sentence paraphrase pairs words","$0.20","Fri Jul 01 17:54:27 PDT 2016","10","BatchId:2450743;","3600","2592000","Sun Jul 31 17:54:27 PDT 2016","","","39KFRKBFINVTABYMRVROW8GF33YYO4","A34QZDSTKZ3JO9","Submitted","Sun Jul 03 10:48:37 PDT 2016","Sun Jul 03 10:49:21 PDT 2016","Tue Aug 02 10:49:21 PDT 2016","","","","44","100% (21/21)","0% (0/0)","0% (0/0)","Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .","news-common:2143","test","18-24 0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 9-17 10-18 11-19 12-20 13-21 16-4 17-5 16-3 8-15","{}","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","37433","","1467568156578","{}","unchanged","1467568119145","Submit","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 14-22 14-23 16-3 16-4 17-5 18-24","unchanged"
"3LEG2HW4UFN7HTVT95W2CQA9MWCF2I","3G0DIRF6ZY7958VLIU3OKGK0Z8P95V","Aligning Words in Paraphrased Sentence Pairs (Passed Alignment Training)","You will be presented two sentences that are paraphrases of each other. Select the words in each that correspond to each other.","align sentence paraphrase pairs words","$0.20","Fri Jul 01 17:54:27 PDT 2016","10","BatchId:2450743;","3600","2592000","Sun Jul 31 17:54:27 PDT 2016","","","3B837J3LDOWZB2ETKHG38HXJX51SR8","A2NV5CA59IXOAY","Submitted","Sat Jul 02 03:41:19 PDT 2016","Sat Jul 02 03:42:56 PDT 2016","Mon Aug 01 03:42:56 PDT 2016","","","","97","0% (0/0)","0% (0/0)","0% (0/0)","Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .","news-common:2143","test","18-24 0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 9-17 10-18 11-19 12-20 13-21 16-4 17-5 16-3 8-15","{}","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","67548","","1467456144711","14-22 14-23","{}","1467456077163","Submit","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-3 16-4 17-5 18-24","0 1 2"
"3LEG2HW4UFN7HTVT95W2CQA9MWCF2I","3G0DIRF6ZY7958VLIU3OKGK0Z8P95V","Aligning Words in Paraphrased Sentence Pairs (Passed Alignment Training)","You will be presented two sentences that are paraphrases of each other. Select the words in each that correspond to each other.","align sentence paraphrase pairs words","$0.20","Fri Jul 01 17:54:27 PDT 2016","10","BatchId:2450743;","3600","2592000","Sun Jul 31 17:54:27 PDT 2016","","","3DHE4R9OCWBFHDOHAR7LIV68X2B2G3","A2QTP92PCZUGI2","Submitted","Sun Jul 03 08:26:32 PDT 2016","Sun Jul 03 08:28:28 PDT 2016","Tue Aug 02 08:28:28 PDT 2016","","","","116","100% (1/1)","0% (0/0)","0% (0/0)","Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .","news-common:2143","test","18-24 0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 9-17 10-18 11-19 12-20 13-21 16-4 17-5 16-3 8-15","{}","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","88476","","1467559690213","8-16","{}","1467559601737","Submit","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 14-22 14-23 16-3 16-4 17-5 18-24","0 1 2"
"3LEG2HW4UFN7HTVT95W2CQA9MWCF2I","3G0DIRF6ZY7958VLIU3OKGK0Z8P95V","Aligning Words in Paraphrased Sentence Pairs (Passed Alignment Training)","You will be presented two sentences that are paraphrases of each other. Select the words in each that correspond to each other.","align sentence paraphrase pairs words","$0.20","Fri Jul 01 17:54:27 PDT 2016","10","BatchId:2450743;","3600","2592000","Sun Jul 31 17:54:27 PDT 2016","","","3DPNQGW4LLFNNYEY2SHNZJQHN2M46H","A2ZRJMJTE6ID97","Submitted","Sat Jul 02 07:49:42 PDT 2016","Sat Jul 02 07:51:52 PDT 2016","Mon Aug 01 07:51:52 PDT 2016","","","","130","100% (50/50)","0% (0/0)","0% (0/0)","Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .","news-common:2143","test","18-24 0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 9-17 10-18 11-19 12-20 13-21 16-4 17-5 16-3 8-15","{}","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","81318","","1467471068289","unchanged","{}","1467470986971","Submit","unchanged","0 1 2 22"
"3LEG2HW4UFN7HTVT95W2CQA9MWCF2I","3G0DIRF6ZY7958VLIU3OKGK0Z8P95V","Aligning Words in Paraphrased Sentence Pairs (Passed Alignment Training)","You will be presented two sentences that are paraphrases of each other. Select the words in each that correspond to each other.","align sentence paraphrase pairs words","$0.20","Fri Jul 01 17:54:27 PDT 2016","10","BatchId:2450743;","3600","2592000","Sun Jul 31 17:54:27 PDT 2016","","","3MTMREQS4VI0J29L2B4IAGBU3E5WAF","A4H1NYJVE7C53","Submitted","Fri Jul 01 20:46:13 PDT 2016","Fri Jul 01 20:49:57 PDT 2016","Sun Jul 31 20:49:57 PDT 2016","","","","224","100% (34/34)","0% (0/0)","0% (0/0)","Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .","news-common:2143","test","18-24 0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 9-17 10-18 11-19 12-20 13-21 16-4 17-5 16-3 8-15","{}","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","141403","","1467476666929","unchanged","{}","1467476525526","Submit","unchanged","0 1 2 22 23"
"3LEG2HW4UFN7HTVT95W2CQA9MWCF2I","3G0DIRF6ZY7958VLIU3OKGK0Z8P95V","Aligning Words in Paraphrased Sentence Pairs (Passed Alignment Training)","You will be presented two sentences that are paraphrases of each other. Select the words in each that correspond to each other.","align sentence paraphrase pairs words","$0.20","Fri Jul 01 17:54:27 PDT 2016","10","BatchId:2450743;","3600","2592000","Sun Jul 31 17:54:27 PDT 2016","","","3RJSC4XJ10UA56WJE8KGVAM4AVS05E","A2HNL20X0Q9BP0","Submitted","Fri Jul 01 22:24:14 PDT 2016","Fri Jul 01 22:24:50 PDT 2016","Sun Jul 31 22:24:50 PDT 2016","","","","36","9% (1/11)","0% (0/0)","0% (0/0)","Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .","news-common:2143","test","18-24 0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 9-17 10-18 11-19 12-20 13-21 16-4 17-5 16-3 8-15","{}","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","26757","","1467437078947","{}","15","1467437052190","Submit","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 8-16 9-17 10-18 11-19 12-20 13-21 14-22 14-23 16-0 16-1 16-2 16-3 16-4 17-5 18-24","14"
"3LEG2HW4UFN7HTVT95W2CQA9MWCF2I","3G0DIRF6ZY7958VLIU3OKGK0Z8P95V","Aligning Words in Paraphrased Sentence Pairs (Passed Alignment Training)","You will be presented two sentences that are paraphrases of each other. Select the words in each that correspond to each other.","align sentence paraphrase pairs words","$0.20","Fri Jul 01 17:54:27 PDT 2016","10","BatchId:2450743;","3600","2592000","Sun Jul 31 17:54:27 PDT 2016","","","3S4AW7T80BI56JH5PWNPO28EDX34LH","A1EQ2HDHF2WWSY","Submitted","Fri Jul 01 19:43:53 PDT 2016","Fri Jul 01 19:48:05 PDT 2016","Sun Jul 31 19:48:05 PDT 2016","","","","252","100% (31/31)","100% (6/6)","0% (0/0)","Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .","news-common:2143","test","18-24 0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 9-17 10-18 11-19 12-20 13-21 16-4 17-5 16-3 8-15","{}","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","137720","","1467427568702","{}","unchanged","1467427430982","Submit","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 14-22 14-23 16-3 16-4 17-5 18-24","unchanged"
"3LEG2HW4UFN7HTVT95W2CQA9MWCF2I","3G0DIRF6ZY7958VLIU3OKGK0Z8P95V","Aligning Words in Paraphrased Sentence Pairs (Passed Alignment Training)","You will be presented two sentences that are paraphrases of each other. Select the words in each that correspond to each other.","align sentence paraphrase pairs words","$0.20","Fri Jul 01 17:54:27 PDT 2016","10","BatchId:2450743;","3600","2592000","Sun Jul 31 17:54:27 PDT 2016","","","3SBEHTYCWN3JEPNJT0EJCBKTRUMIYG","AROEBUDI2L9G9","Submitted","Sat Jul 02 17:51:45 PDT 2016","Sat Jul 02 17:53:38 PDT 2016","Mon Aug 01 17:53:38 PDT 2016","","","","113","100% (94/94)","0% (0/0)","0% (0/0)","Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .","news-common:2143","test","18-24 0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 9-17 10-18 11-19 12-20 13-21 16-4 17-5 16-3 8-15","{}","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","108620","","1467507227811","{}","unchanged","1467507119191","Submit","0-6 0-17 1-7 1-15 2-8 3-9 4-10 5-11 6-12 7-13 8-7 8-15 9-6 9-17 10-18 11-19 12-20 13-21 14-23 15-14 16-4 17-5 18-24","unchanged"
"3LEG2HW4UFN7HTVT95W2CQA9MWCF2I","3G0DIRF6ZY7958VLIU3OKGK0Z8P95V","Aligning Words in Paraphrased Sentence Pairs (Passed Alignment Training)","You will be presented two sentences that are paraphrases of each other. Select the words in each that correspond to each other.","align sentence paraphrase pairs words","$0.20","Fri Jul 01 17:54:27 PDT 2016","10","BatchId:2450743;","3600","2592000","Sun Jul 31 17:54:27 PDT 2016","","","3TU5ZICBRD1HGHKKT4LYM0NDPPUQ87","AO8LXT6Z1D9MU","Submitted","Sat Jul 02 09:05:47 PDT 2016","Sat Jul 02 09:07:31 PDT 2016","Mon Aug 01 09:07:31 PDT 2016","","","","104","100% (484/484)","0% (0/0)","0% (0/0)","Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .","state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .","news-common:2143","test","18-24 0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 9-17 10-18 11-19 12-20 13-21 16-4 17-5 16-3 8-15","{}","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","0-6 1-7 2-8 3-9 4-10 5-11 6-12 7-13 8-15 9-17 10-18 11-19 12-20 13-21 16-4 17-5 18-24","14-23","{}","{}","35685","","1467475624038","unchanged","{}","1467475588353","Submit","unchanged","0 1 2 14 16 22 23"
