pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
VOM19981122_0900_1102-1-21,VOM19981122_0900_1102,1,HITInput,"Dear audience , let 's look at some situations in China .",Here is the news about China .,"dear audience , let 's look at some situation in china .",here be the news about china .,0.8823529411764706,5,11-6 10-5,,,,,,,
VOA_URD_20070721.0008-15-4,VOA_URD_20070721.0008,15,HITInput,"He has been asked to fill surety bond of 500,000 dollars .",His bail is $ 5 lakh .,"he have be ask to fill surety bond of 500,000 dollar .",his bail be $ 5 lakh .,0.8823529411764706,5,7-1 11-6 10-3,,,,,,,
groups.google.com_kholoudalrouh_4dca8166880eee76_ARB_20060216_031200-30-5,groups.google.com_kholoudalrouh_4dca8166880eee76_ARB_20060216_031200,30,HITInput,The revelation includes all single men .,"In the Qur'an , there is a call to every bachelor .",the revelation include all single men .,"in the qur'an , there be a call to every bachelor .",0.8823529411764706,5,4-12 6-13,,,,,,,
urd-WL-83-174268-11364087-post8-1-5,urd-WL-83-174268-11364087-post8,1,HITInput,I was n't probably blessed with my due share of wisdom .,I think I have very little brains .,i be n't probably bless with my due share of wisdom .,i think i have very little brain .,0.8823529411764706,4,11-7,,,,,,,
ZBN19981203_0062-7-18,ZBN19981203_0062,7,HITInput,Fourteen percent of the Australia population is British .,UK people account for 14 % of Australian immigrants .,fourteen percent of the australia population be british .,uk people account for 14 % of australian immigrant .,0.8823529411764706,1,0-4 5-1 4-7 7-0 1-5 8-9 2-6,,,,,,,
VOA_URD_20070721.0008-15-3,VOA_URD_20070721.0008,15,HITInput,"He has been asked to fill surety bond of 500,000 dollars .",His bail is $ 5 lakh .,"he have be ask to fill surety bond of 500,000 dollar .",his bail be $ 5 lakh .,0.8823529411764706,5,7-1 11-6 10-3,,,,,,,
ZBN19981111_0041-13-27,ZBN19981111_0041,13,HITInput,Asia 's economic revival is in its beginning phase .,Asian recovery was still at the early stage .,asia 's economic revival be in it beginning phase .,asian recovery be still at the early stage .,0.8823529411764706,1,4-2 0-0 9-8 7-6 3-1 8-7,,,,,,,
artb_045-6-34,artb_045,6,HITInput,Angham has excellent voice with fine tones .,Angham is famous for her tender notes and vocal profundity .,angham have excellent voice with fine tone .,angham be famous for her tender note and vocal profundity .,0.8823529411764706,3,3-8 0-0 7-10,,,,,,,
AFA20030207.9120-4-1,AFA20030207.9120,4,HITInput,This process was put into motion recently . '',"`` It has been a short time since these efforts started , '' Fleischer said in a press conference .",this process be put into motion recently . '',"`` it have be a short time since these effort start , '' fleischer say in a press conference .",0.88,11,8-12 7-19,,,,,,,
urd-WL-80-174265-7496746-19-5,urd-WL-80-174265-7496746,19,HITInput,"I did n't rest until 3AM , when they closed .","I went to bed at 3 am , then the Naat recitations ended after a while .","i do n't rest until 3am , when they close .","i go to bed at 3 be , then the naat recitation end after a while .",0.88,6,10-16 9-12,,,,,,,
