hitId,# submissions,# correct submissions,correctness rate
3MZ3TAMYTL8EWUHCQCY0W9T59TJRI3,5,3,0.6
3LAZVA75NIC7OWBU9HW4FYHJ9A32OV,5,4,0.8
337F8MIIMZYWOTYYBADHICIZVLJ04Z,5,3,0.6
3FBEFUUYRKQ64T0UM03P4GEQ0836A3,74,50,0.6756756756756757
386T3MLZLNGX7UL0ND3UZOY4X7F80E,5,4,0.8
3XUSYT70ITM9OPHR4LEALGC58YCD0P,5,3,0.6
3KA7IJSNW6QJX9NR7A2U5RPDDLBPB0,5,5,1.0
37SDSEDIN9NXEJ6IJW7UDTHE2ZL81H,5,5,1.0
3YLPJ8OXX8Y4LJ49EM2ORQ5A5S44XY,5,3,0.6
3R0WOCG21MUP4BT72SSUAN0COXIDUE,86,66,0.7674418604651163
3VZYA8PITOJEKC2YPFWRN4ODVHE054,5,4,0.8
3MIVREZQVHJ5QOS0D0UC4ZYD5B7QKD,5,3,0.6
3J06WJ78HN5BB7ITY32TCV822BUVVJ,89,73,0.8202247191011236
3A3KKYU7P32509OPAL6YB183IHIMWH,5,5,1.0
37SOB9Z0SSIO3T4G0PUH6RIHKJYL38,5,4,0.8
3GITHABACY6P6BBI82WR09HEJ0Y2NG,5,2,0.4
3LVTFB9DE530O2WHN99X676KY4SGQM,98,87,0.8877551020408163
3TD33TP5DLNCA5HPIRKXFW0IE9DABR,96,63,0.65625
3XUSYT70ITM9OPHR4LEALGC588DD0A,95,53,0.5578947368421052
33Q5P9PUSP7WLIH38JWR79X955JCZG,5,5,1.0
3FHTJGYT8NLFOQV2NWU862GAT86GPV,86,61,0.7093023255813954
3V8JSVE8YYBBDQRC8O03JQOAKXTYEP,83,59,0.7108433734939759
3NI0WFPPI91A3G2CUY6WFA2DRCP06K,5,5,1.0
3N3WJQXELSBZIB8XWPGCNHDPE5YL2X,5,5,1.0
3G3AJKPCXLDTLOUJJIOQA4CJ7YY4Y4,5,5,1.0
311HQEI8RS1Q91M7H2OGRN5V44T7Z3,92,74,0.8043478260869565
3LXX8KJXPWUIOGWTUQBJPLPXFQEO9U,91,80,0.8791208791208791
3WPCIUYH1ATA4YEI2N2K5REA5JBDTN,92,68,0.7391304347826086
3APP19WN71Z7EKDX80VZ02PTY3FG6O,89,75,0.8426966292134831
3ZQX1VYFTDQIABDJPY55PPUMVKWO85,86,74,0.8604651162790697
3QX22DUVOO2SLKOKKB12PZPPB8GMV7,5,2,0.4
31ODACBENU03E758I93EVLPNMFLQSF,81,56,0.691358024691358
3TRB893CSJVQIKR2RA0R6GPPTEZG7N,87,67,0.7701149425287356
3X4Q1O9UBH7EAX80FTDZBPYRK0QO7I,87,55,0.632183908045977
32K26U12DN9PHQI77I2Z692V24RDV3,89,56,0.6292134831460674
3CKVGCS3PGQFQE091B9ZGFY59BO0SS,90,77,0.8555555555555555
