news-common:2143	Hackett and Rossignol did not know each other and Hackett had no connection to Colby , Doyle said .	state police Lt. Timothy Doyle said Hackett and Rossignol did not know each other , and that Hackett had no connection to the college .
news-common:723	'' the woman was taken to New Charing Cross Hospital by ambulance and her condition is critical .	she was taken to Charing Cross Hospital , where she remained critically ill last night .
news-common:1629	there 's also a flaw that results because IE does not implement an appropriate block on a file download dialog box .	the second vulnerability is a result of IE not implementing a block on a file download dialog box .
news-common:510	world economic leaders hailed signs of a global revival on Tuesday but agreed it had to be handled with care to prevent any setback .	Dubai , September 23 : the world economic leaders hailed on Tuesday signs of a global revival but agreed it had to be handled with care to prevent any setback .
news-common:943	'' the bank requires growth from elsewhere in the economy and needs the economy to rebalance '' , he said in an interview with the Press Association news agency .	the Bank of England '' requires growth from elsewhere in the economy and needs the economy to rebalance '' , he told the Press Association news agency .
news-common:2214	nor has it said how many astronauts will be on board , through there reportedly will be between one and three .	nor has it said how many astronauts will be on board , through there reportedly could be as many as three .
news-common:1696	still , Mauresmo has the confidence of having beaten Serena for the first time and also is buoyed by Venus Williams ' upset loss Sunday to Vera Zvonareva .	she has the confidence of having beaten her for the first time and she is buoyed by Venus Williams ' upset loss of two days ago .
news-common:2001	'' they were an inspirational couple , selfless and courageous '' , said the Oscar-winning film director .	he said : '' they were an inspirational couple , selfless and courageous .
news-common:2127	'' we make no apologies for finding every legal way possible to protect the American public from further terrorist attacks '' , she said .	'' we make no apologies for finding every legal way possible to protect the American public from further terrorist attack '' , said Barbara Comstock , Justice Department spokeswoman .
news-common:442	Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said it appeared to have veered from its flight path because of the fog .	Volodymyr Gorbanovsky , deputy general director of the plane 's owners , Mediterranean Airlines , said initial information indicated it had veered from its flight path because of fog .
news-common:2718	the retailer said it came to the decision after hearing the opinions of customers and associates .	the decision came after '' listening to our customers and associates '' , Melissa Berryhill , a spokeswoman for Wal-Mart , said .
news-common:1296	'' we will accede to the request while we explore all of our options '' , VeriSign spokesman Tom Galvin told Reuters .	we will accede to the request while we explore all of our options '' , said Russell Lewis , executive vice president of VeriSign 's Naming and Directory Services Group .
news-common:1411	two Atlanta companies that have not been accused of wrongdoing -- Delta Air Lines Inc. and the Home Depot -- were mentioned as having excessive pay packages for its CEOs .	two Atlanta-based companies that have not been accused of wrongdoing -- Delta Air Lines and Home Depot -- were also mentioned by witnesses as having excessive pay packages for CEOs .
news-common:2006	the US investment bank said : '' we believe the long-term prospects for the energy sector in the UK remain attractive '' .	'' we believe the long-term prospects for the energy sector in the UK remain attractive '' , Goldman said .
news-common:963	Tom Kasmer , a 14-year-old from Belmont , N.C. , got a word that sounded like '' zistee '' during yesterday 's competition .	the 14-year-old national spelling finalist who attends school in Belmont , N.C. , got a word that sounded like '' zistee '' during competition Wednesday .
news-common:1486	about 10 percent of high school and 16 percent of elementary students must be proficient at math .	in math , 16 percent of elementary and middle school students and 9.6 percent of high school students must be proficient .
news-common:2988	they said many had been beaten , and police officers also stormed private wards at the hospital and harassed patients .	they said the police officers also entered various private wards at the clinic and attacked patients .
news-common:3006	the Pentagon , saying that Boykin requested it , is investigating his remarks .	the Pentagon has begun an official investigation into Boykin 's remarks .
news-common:2951	the technology-heavy Nasdaq Composite Index gained 25.75 points , or 1.5 percent , to 1,746.46 , its highest close in about 15 months .	the technology-laced Nasdaq Composite index .ixic was down 1.55 points , or 0.09 percent , at 1,744.91 .
news-C:2651	writing in the journal Geophysical Research Letters , Vincent 's team said all of the fresh water poured out of the 20 mile -lrb- 30 km -rrb- long Disraeli fjord .	writing in the journal Geophysical Research Letters , Vincent 's team said all of the fresh water poured out of the 20-mile-long Disraeli fjord .
news-C:1251	Greenspan is head of the U.S. central bank , which sets U.S. interest rates .	Greenspan 's Federal Reserve , the U.S. central bank , decides interest rates in the world 's largest economy .
news-C:2572	the agency said it would not release the name of the 17-year-old involved because he is a minor .	the agency said it had no plans to release the name of the teenager involved because he was a minor .
news-C:958	this morning , at UM 's New York office , Coen revised his expectations downward , saying that spending would instead rise 4.6 percent to $ 247 billion .	speaking to reporters at a New York news conference , Universal McCann 's Coen projected that total U.S. ad spending will rise 4.6 percent to $ 247.7 billion this year .
