instructions,image,source,target,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
"We do not have a strict definition of what constitutes a correspondence. As a rule of thumb align words or phrases a->b in two sentences (A,B) whenever the words a can be substituted for b in B, or vice-versa. This relationship should hold within the context of the sentence pair in question: the relation a->b need not hold in general contexts. Trivially this definition allows for identical word pairs. The choice of aligning words or blocks can be subjective. In general, you should align the smallest possible sensible unit, which will be individual words in the majority of sentences. When the same concept has been realised in the two sentences with quite a different construction, and aligning the two word-for-word becomes infeasible, then a many-to-many block should be used. For example, a block alignment should be used in the following sentence pair:",https://www.cis.upenn.edu/~ccb/figures/monolingual-word-alignment-guidelines/training2.png,Australia is concerned with the issue of carbon dioxide emissions .,The problem of greenhouse gasses has attracted Australia 's attention .,5-1 6-2 4-0 8-4 7-3 10-9 9-8 8-7,,{},{},4-0 5-1 6-2 7-4 7-3 8-3 8-4 9-3 9-4 10-10 0-7 1-5 1-6 1-8 1-9 2-5 2-6 2-8 2-9 3-5 3-6 3-8 3-9,{},{},{}
"This is an example where you should use a many-to-many block to align the sentence pairs. In general, discontinuous alignments should be preferred over many-to-many alignments. An example of a discontinuous alignment is given below:",https://www.cis.upenn.edu/~ccb/figures/monolingual-word-alignment-guidelines/training3.png,The experts will decide the bill 's fate .,The experts will make a determination on the bill .,0-0 5-8 4-7 8-9 7-6 6-5 3-3 2-2 1-1,,{},{},0-0 1-1 2-2 3-3 3-4 3-5 3-6 4-7 5-8 6-3 6-4 6-5 6-6 7-3 7-4 7-5 7-6 8-9,{},{},{}
"When a word, phrase, or clause in a sentence does not have a corresponding word, phrase, or clause in its paraphrase sentence, it should be marked as new information. You can do this by highlighting the row/column corresponding to these words by clicking on the words themselves, which will make the entire row/column pink. Only word units that carry actual semantic content and represent genuinely novel information should be marked as new information. Look out for phrases denoting locations (e.g., in Italy, from New York) or temporal information (e.g., the first time, the next days). Also clauses (e.g., a verb and its subject or a subordinate clause) present in one sentence but missing from the other should be generally marked as new information. Function words (e.g., and, that, for), punctuation, temporal markers (e.g., then), and discourse connectives (e.g., however, therefore) present only in one sentence should not be marked as new information. ",https://www.cis.upenn.edu/~ccb/figures/monolingual-word-alignment-guidelines/training4.png,The prime minister does not intend to stay until his term is over .,The prime minister does not plan to remain in office until his term expires .,0-0 10-12 13-14 8-10 5-5 6-6 7-9 9-11 12-13 1-1 2-2 3-3 4-4,,{},{},0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-10 9-11 10-12 11-13 12-13 13-14,{},{},8 9
"When a word, phrase, or clause in a sentence does not have a corresponding word, phrase, or clause in its paraphrase sentence, it should be marked as new information. You can do this by highlighting the row/column corresponding to these words by clicking on the words themselves, which will make the entire row/column pink. Only word units that carry actual semantic content and represent genuinely novel information should be marked as new information. Look out for phrases denoting locations (e.g., in Italy, from New York) or temporal information (e.g., the first time, the next days). Also clauses (e.g., a verb and its subject or a subordinate clause) present in one sentence but missing from the other should be generally marked as new information. Function words (e.g., and, that, for), punctuation, temporal markers (e.g., then), and discourse connectives (e.g., however, therefore) present only in one sentence should not be marked as new information. ",https://www.cis.upenn.edu/~ccb/figures/monolingual-word-alignment-guidelines/training5.png,Experts disclosed that the government is planning elections .,The government is planning elections .,8-5 4-1 3-0 6-3 7-4 5-2,,{},{},3-0 4-1 5-2 6-3 7-4 8-5,{},0 1 2,{}
"When a word, phrase, or clause in a sentence does not have a corresponding word, phrase, or clause in its paraphrase sentence, it should be marked as new information. You can do this by highlighting the row/column corresponding to these words by clicking on the words themselves, which will make the entire row/column pink. Only word units that carry actual semantic content and represent genuinely novel information should be marked as new information. Look out for phrases denoting locations (e.g., in Italy, from New York) or temporal information (e.g., the first time, the next days). Also clauses (e.g., a verb and its subject or a subordinate clause) present in one sentence but missing from the other should be generally marked as new information. Function words (e.g., and, that, for), punctuation, temporal markers (e.g., then), and discourse connectives (e.g., however, therefore) present only in one sentence should not be marked as new information. ",https://www.cis.upenn.edu/~ccb/figures/monolingual-word-alignment-guidelines/training6.png,London won the Olympics .,London won the olympics for the first time .,0-0 4-8 2-5 3-3 2-2 1-1,,{},{},0-0 1-1 2-2 3-2 2-3 3-3 4-8,{},{},4 5 6 7
"When a word, phrase, or clause in a sentence does not have a corresponding word, phrase, or clause in its paraphrase sentence, it should be marked as new information. You can do this by highlighting the row/column corresponding to these words by clicking on the words themselves, which will make the entire row/column pink. Only word units that carry actual semantic content and represent genuinely novel information should be marked as new information. Look out for phrases denoting locations (e.g., in Italy, from New York) or temporal information (e.g., the first time, the next days). Also clauses (e.g., a verb and its subject or a subordinate clause) present in one sentence but missing from the other should be generally marked as new information. Function words (e.g., and, that, for), punctuation, temporal markers (e.g., then), and discourse connectives (e.g., however, therefore) present only in one sentence should not be marked as new information. ",https://www.cis.upenn.edu/~ccb/figures/monolingual-word-alignment-guidelines/training7.png,"AIDS , also called acquired immunodeficiency syndrome , can be treated using combination drugs .",AIDS can be treated using combination drugs .,0-0 13-6 14-7 12-5 10-3 9-2 8-1 11-4,,{},{},0-0 8-1 9-2 10-3 11-4 12-5 13-6 14-7,{},2 3 4 5 6,{}
"Sometimes there are phrases across sentences which have only very loose correspondence. In these cases we have a special marker for possible alignments. These are shown as grey squares, and can be created by clicking twice on a white square.",https://www.cis.upenn.edu/~ccb/figures/monolingual-word-alignment-guidelines/training8.png,Tang Jiaxuan stated the meeting was of profound significance .,Tang Jiaxuan said that the meeting could have very long term effects .,7-8 3-4 0-0 9-12 8-11 5-6 6-7 4-5 2-2 1-1,,{},{},0-0 0-1 1-0 1-1 2-2 3-4 4-5 9-12,5-6 5-7 5-8 5-9 5-10 5-11 6-6 6-7 6-8 6-9 6-10 6-11 7-6 7-7 7-8 7-9 7-10 7-11 8-6 8-7 8-8 8-9 8-10 8-11,{},{}
"Proper Nouns: Consider proper noun noun phrases (NPs e.g., George Bush, the United Nations) as one semantic entity. These denote people, places, organisations, etc. These are usually obvious from the capitalisation, however we've lower-cased the data. Such entities of more than one word will be generally block aligned. Definite descriptions corresponding to proper noun NPs that are aligned to proper noun NPs should be also block aligned. The NP the secretary of state is block aligned with Condoleezza Rice in the example below. Finally, proper noun NPs can be recursive consisting of several proper noun NPs . In such cases, we recommend that you break the NP into subparts each corresponding to a proper noun NP, instead of using a block alignment for the entire NP. For example, if you were given the NP Condoleezza Rice of the United States, you should use two block alignments one for Condoleezza Rice and one for the United States.",https://www.cis.upenn.edu/~ccb/figures/monolingual-word-alignment-guidelines/training10.png,the secretary of state,condoleezza rice,0-1 1-3,,{},{},0-0 0-1 1-0 1-1 2-0 2-1 3-0 3-1,{},{},{}
"Pronominal reference: When a pronoun is introduced in place of a name or a title, mark it is a possible alignment by clicking on the square in the grid twice so that it becomes grey.",https://www.cis.upenn.edu/~ccb/figures/monolingual-word-alignment-guidelines/training11.png,He suspended habeas corpus .,Bush suspended habeas corpus .,0-0 4-4 3-3 2-2 1-1,,{},{},1-1 2-2 3-3 4-4,0-0,{},{}
"Determiners and Prepositions: In cases where two Noun Phrases have the same head but different determiners (prepositions) (e.g., a man vs. the man, a ceremony vs. their ceremony), the determiners should be aligned as possible.",https://www.cis.upenn.edu/~ccb/figures/monolingual-word-alignment-guidelines/training12.png,the man,a man,0-0 1-1,,{},{},1-1,0-0,{},{}
