hitId,inputSureAlignments,answerSureAlignments,precision,recall,f1
"We do not have a strict definition of what constitutes a correspondence. As a rule of thumb align words or phrases a->b in two sentences (A,B) whenever the words a can be substituted for b in B, or vice-versa. This relationship should hold within the context of the sentence pair in question: the relation a->b need not hold in general contexts. Trivially this definition allows for identical word pairs. The choice of aligning words or blocks can be subjective. In general, you should align the smallest possible sensible unit, which will be individual words in the majority of sentences. When the same concept has been realised in the two sentences with quite a different construction, and aligning the two word-for-word becomes infeasible, then a many-to-many block should be used. For example, a block alignment should be used in the following sentence pair:",5-1 6-2 4-0 8-4 7-3 10-9 9-8 8-7,4-0 5-1 6-2 7-4 7-3 8-3 8-4 9-3 9-4 10-10 0-7 1-5 1-6 1-8 1-9 2-5 2-6 2-8 2-9 3-5 3-6 3-8 3-9,0.625,0.21739130434782608,0.3225806451612903
"This is an example where you should use a many-to-many block to align the sentence pairs. In general, discontinuous alignments should be preferred over many-to-many alignments. An example of a discontinuous alignment is given below:",0-0 5-8 4-7 8-9 7-6 6-5 3-3 2-2 1-1,0-0 1-1 2-2 3-3 3-4 3-5 3-6 4-7 5-8 6-3 6-4 6-5 6-6 7-3 7-4 7-5 7-6 8-9,1.0,0.5,0.6666666666666666
"When a word, phrase, or clause in a sentence does not have a corresponding word, phrase, or clause in its paraphrase sentence, it should be marked as new information. You can do this by highlighting the row/column corresponding to these words by clicking on the words themselves, which will make the entire row/column pink. Only word units that carry actual semantic content and represent genuinely novel information should be marked as new information. Look out for phrases denoting locations (e.g., in Italy, from New York) or temporal information (e.g., the first time, the next days). Also clauses (e.g., a verb and its subject or a subordinate clause) present in one sentence but missing from the other should be generally marked as new information. Function words (e.g., and, that, for), punctuation, temporal markers (e.g., then), and discourse connectives (e.g., however, therefore) present only in one sentence should not be marked as new information. ",0-0 10-12 13-14 8-10 5-5 6-6 7-9 9-11 12-13 1-1 2-2 3-3 4-4,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-10 9-11 10-12 11-13 12-13 13-14,0.9230769230769231,0.8571428571428571,0.888888888888889
"When a word, phrase, or clause in a sentence does not have a corresponding word, phrase, or clause in its paraphrase sentence, it should be marked as new information. You can do this by highlighting the row/column corresponding to these words by clicking on the words themselves, which will make the entire row/column pink. Only word units that carry actual semantic content and represent genuinely novel information should be marked as new information. Look out for phrases denoting locations (e.g., in Italy, from New York) or temporal information (e.g., the first time, the next days). Also clauses (e.g., a verb and its subject or a subordinate clause) present in one sentence but missing from the other should be generally marked as new information. Function words (e.g., and, that, for), punctuation, temporal markers (e.g., then), and discourse connectives (e.g., however, therefore) present only in one sentence should not be marked as new information. ",8-5 4-1 3-0 6-3 7-4 5-2,3-0 4-1 5-2 6-3 7-4 8-5,1.0,1.0,1.0
"When a word, phrase, or clause in a sentence does not have a corresponding word, phrase, or clause in its paraphrase sentence, it should be marked as new information. You can do this by highlighting the row/column corresponding to these words by clicking on the words themselves, which will make the entire row/column pink. Only word units that carry actual semantic content and represent genuinely novel information should be marked as new information. Look out for phrases denoting locations (e.g., in Italy, from New York) or temporal information (e.g., the first time, the next days). Also clauses (e.g., a verb and its subject or a subordinate clause) present in one sentence but missing from the other should be generally marked as new information. Function words (e.g., and, that, for), punctuation, temporal markers (e.g., then), and discourse connectives (e.g., however, therefore) present only in one sentence should not be marked as new information. ",0-0 4-8 2-5 3-3 2-2 1-1,0-0 1-1 2-2 3-2 2-3 3-3 4-8,0.8333333333333334,0.7142857142857143,0.7692307692307692
"When a word, phrase, or clause in a sentence does not have a corresponding word, phrase, or clause in its paraphrase sentence, it should be marked as new information. You can do this by highlighting the row/column corresponding to these words by clicking on the words themselves, which will make the entire row/column pink. Only word units that carry actual semantic content and represent genuinely novel information should be marked as new information. Look out for phrases denoting locations (e.g., in Italy, from New York) or temporal information (e.g., the first time, the next days). Also clauses (e.g., a verb and its subject or a subordinate clause) present in one sentence but missing from the other should be generally marked as new information. Function words (e.g., and, that, for), punctuation, temporal markers (e.g., then), and discourse connectives (e.g., however, therefore) present only in one sentence should not be marked as new information. ",0-0 13-6 14-7 12-5 10-3 9-2 8-1 11-4,0-0 8-1 9-2 10-3 11-4 12-5 13-6 14-7,1.0,1.0,1.0
"Sometimes there are phrases across sentences which have only very loose correspondence. In these cases we have a special marker for possible alignments. These are shown as grey squares, and can be created by clicking twice on a white square.",7-8 3-4 0-0 9-12 8-11 5-6 6-7 4-5 2-2 1-1,0-0 0-1 1-0 1-1 2-2 3-4 4-5 9-12,0.6,0.75,0.6666666666666665
"Proper Nouns: Consider proper noun noun phrases (NPs e.g., George Bush, the United Nations) as one semantic entity. These denote people, places, organisations, etc. These are usually obvious from the capitalisation, however we've lower-cased the data. Such entities of more than one word will be generally block aligned. Definite descriptions corresponding to proper noun NPs that are aligned to proper noun NPs should be also block aligned. The NP the secretary of state is block aligned with Condoleezza Rice in the example below. Finally, proper noun NPs can be recursive consisting of several proper noun NPs . In such cases, we recommend that you break the NP into subparts each corresponding to a proper noun NP, instead of using a block alignment for the entire NP. For example, if you were given the NP Condoleezza Rice of the United States, you should use two block alignments one for Condoleezza Rice and one for the United States.",0-1 1-3,0-0 0-1 1-0 1-1 2-0 2-1 3-0 3-1,0.5,0.125,0.2
"Pronominal reference: When a pronoun is introduced in place of a name or a title, mark it is a possible alignment by clicking on the square in the grid twice so that it becomes grey.",0-0 4-4 3-3 2-2 1-1,1-1 2-2 3-3 4-4,0.8,1.0,0.888888888888889
"Determiners and Prepositions: In cases where two Noun Phrases have the same head but different determiners (prepositions) (e.g., a man vs. the man, a ceremony vs. their ceremony), the determiners should be aligned as possible.",0-0 1-1,1-1,0.5,1.0,0.6666666666666666
"When an Noun Phrase is missing a determiner (eg. frost vs. the frost) altogether, then the determiner should be left unaligned. When you leave the determiner unaligned, you should not mark the information as omitted (ie. do not highlight the determiner in pink).",0-1,0-1,1.0,1.0,1.0
"Tenses Use: possible block alignments in cases where the same verb is attested with different tenses (e.g., shall be vs. had been). Use certain block alignments when the tense is the same but the aspect differs.",0-0 1-1,{},0.0,0.0,0
"Tenses Use: possible block alignments in cases where the same verb is attested with different tenses (e.g., shall be vs. had been). Use certain block alignments when the tense is the same but the aspect differs (e.g. will go vs. will be going.",0-0 1-2,0-0 0-1 0-2 1-0 1-1 1-2,1.0,0.3333333333333333,0.5
"Subcat frames: In cases where the same verb is attested with differing subcat frames (e.g., give to me vs. give me), you should leave any extra material introduced by the different subcat frame unaligned. When you leave the extra information unaligned, you should not mark the information as omitted (ie. you shouldn't highlight the subcat frame in pink).",0-0 1-4 3-2 2-1,0-0 1-4 2-1 3-2,1.0,1.0,1.0
"Use a many-to-one alignment when a verb with a prepositional complement (ie. speak of, believe in) paraphrases a verb followed by a noun object.",0-0 5-4 4-3 3-2 1-1,0-0 1-1 2-1 3-2 4-3 5-4,1.0,0.8333333333333334,0.9090909090909091
"Phrasal Verbs: Use a one-to-many alignment, in cases where a phrasal verb paraphrases a non-phrasal verb (e.g., take up your father vs. bring your father). In general phrasal verbs often take their meaning from the accompanying particle and should be considered as belonging to the verb. This can be a discontinuous alignment.",0-0 2-2 1-1,0-0 0-3 1-1 2-2,1.0,0.75,0.8571428571428571
