pairID,instructions,image,hitType,source,target,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
training-00,"For this task, you are given two sentences which are paraphrases of each other. Your task will be to show which parts of the sentence are in correspondence by aligning them on a word-to-word basis.<br/><br/>Click on a square in the grid to turn the square black. This indicates a correspondence between two words.",,training,Chinese enterprises are the biggest foreign investors in Macao .,The biggest foreign investors in Macao are Chinese enterprises .,,,,,,,,
training-01,"The majority of paraphrases in this project will express similar concepts using different words and phrases. In this case, your task is to mark alignments between words that correspond to each other. Words correspond to each other when they express the same idea or when they can be substitued for each other in their respective sentences.<br/><br/>If you encounter two sentence pairs that are completely unrelated to each other, check the box for Not a paraphrase. If the sentence pairs have approximate but not identical meanings, you should still attempt to mark correspondences.",,training,The summer in the US this year is one of the hottest in history .,"This year , the summer in the United States is one of the most sizzling on record .",,,,,,,,
training-02,"From now on, we will display automatic alignments made by a computer on the grid for your convenience. You must make alterations to the machine alignment until it is correct.<br/><br/>Often, you will encounter sentences that are constructed very differently, making it difficult to make word-for-word alignments. In this case, you may use a many-to-many block alignment to mark phrases that correspond to each other. You should always aim to make alignment blocks as small as possible. Only create alignments between the smallest units of corresponding meaning. ",,training,Australia is concerned with the issue of carbon dioxide emissions .,The problem of greenhouse gasses has attracted Australia's attention .,,,,,,,,
training-03,"Words do not have to be be exact synonyms in order to be in correspondance with each other. They only have to convey the same idea. For example, in the following example, <i>lived in</i> should be aligned with <i>were inhabited by</i>, since both of these phrases indicate the same kind of relationship.",,training,Forty percent of the populace lived in the city .,The urban areas were inhabited by 40 % of the population.,,,,,,,,
training-04,"Sometimes, one sentence will contain information that is not present in the other sentence. Indicate that words convey new information by clicking on them; this will turn its corresponding row/column pink. Only mark words that convey actual content as new information. Do not mark function words (eg. and, that, for, to), punctuation, connectives (eg. however, therefore) or temporal markers (eg. then) as new information UNLESS they are part of a phrase that conveys content. ",,training,"That is , Princess Kiko , wife of the second son of the Japanese emperor , is pregnant .",Princess Kiko of Japan is expecting a baby .,,,,,,,,
training-05,"There are some phrases across sentences which have very loose correspondence. These may be phrases that have similar, but not identical meanings or phrases that fulfill the same function in the sentence but technically mean different things. In this case, mark the words in question as possible alignments by clicking their corresponding square twice. This will turn the square grey. ",,training,the measures could be taken up by the full Senate as early as Friday .,Ratliff said he hopes to bring the two measures to the full Senate by Friday .,,,,,,,,
training-06,Some of the sentences you encounter will contain typos (eg. <i>help meet</i> instead of <i>helpmate</i>). You may also encounter sentence pairs with non-identical numbers (eg. 0.7 litres vs. 1.5 litres)  Both of these instances should be marked with possible alignments. ,,training,Eighteen percent of the Australia population is British .,UK people account for 14 % of Australien immigrants .,,,,,,,,
training-07,"Some of the sentences will refer to specific people, places, organizations or other named entities. Differing titles that refer to the same individual, location or organization should be block-aligned. For example, <i>Barack Obama</i> should be block-aligned with <i>the president of the United States</i>.<br/><br/>If a pronoun (eg. she, him, herself) corresponds with a name or title, mark the correspondance as a possible alignment. ",,training,"It 's known to the external world that after the finance minister resigned , secretary general Masajuro Shiokawa would replace him .",Outsiders widely speculate that the Liberal Party 's secretary general Shiokawa may become finance minister after Kiichi Migazawa 's resignation .,,,,,,,,
training-08,"Sometimes, you will encounter an idea or named entity that is repeated multiple times in a sentence. In this case, mark one instance of the idea or named entity as a sure alignment, then mark any other instances as possible alignments.",,training,Kinan expressed thanks for a lot of aid provided by China and he praised the country 's generosity .,Kinana appreciated the large amount of support and altruism from China in the past .,,,,,,,,
training-09,Some of the sentence pairs will contain verbs with different tenses (eg. <i>walked</i> vs <i>walk</i> or <i>walked</i> vs. <i>will walk</i>). These verbs should be marked as a possible alignment. ,,training,People can not help heaving a sigh at such frequent accidents with heavy losses of lives .,They will lament at the high frequency and heavy casualties of these accidents.,,,,,,,,
training-10,"If it is ever encountered, <i>'s</i> should be aligned with <i>of</i>, as well as any determiner (eg. the, my, a) that is introduced.",,training,"The arrest of Fang Fuming , an American citizen , by the Chinese government had temporarily caused tensions between China and the United States .",Fang 's being detained once made China-US relations be strained .,,,,,,,,
training-11,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,,,,,,,,
training-12,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",,,,,,,,
training-13,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,,,,,,,,
training-14,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Many sectors in the society also extended their helping hands .,He was offered help from all walks of life .,,,,,,,,
training-15,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Different circles of the society also give him their hands .,He was offered help from all walks of life .,,,,,,,,
training-16,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Disagreement occurred among several key U.S. Republican congressmen over President Clinton 's impeachment trial .,Some important figures of the American Republic Party viewed divergently on the judicial issue of impeaching President Clinton .,,,,,,,,
training-17,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,Angham is renowned for having a beautiful voice with a great range .,Angham distinguishes due to her intonation and accent .,,,,,,,,
training-18,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,We often meet situations that require groups .,"Every now and then , we encounter occasions where collectivity is needed .",,,,,,,,
training-19,"You have completed alignment training! <br/><br/>The following 40 HITs will evaluate your ability to correctly identify alignments. If you perform well on these HITs, you will receive qualification to work on a larger, better paying set of sentence pairs. <br/><br/>To be eligible for the qualification, you must complete all 40 HITs. ",,test,"And in spite of that , terrorism does not stand the least chance to take place .",He added : `` We have no likelyhood of being targeted by terrorism . '',,,,,,,,
