workerID,completed_HITs,correct_HITs,HIT_correctness_rate,initial_precision,initial_recall,initial_f1,initial_precision_difference_from_baseline,initial_recall_difference_from_baseline,initial_f1_difference_from_baseline,final_precision,final_recall,final_f1
A1X6Z5P43QE3IP,22,18,0.8181818181818182,0.8772715697849388,0.7995226117755763,0.8034108743751881,+0.0667667237538,+0.0943295401637,+0.0787061695347,0.9524793388429753,0.9394923258559623,0.9449035812672176
AO8LXT6Z1D9MU,18,15,0.8333333333333334,0.9420289855072465,0.9444444444444443,0.9432098765432099,+0.131524139476,+0.239251372833,+0.218505171703,0.9420289855072465,0.9444444444444443,0.9432098765432099
A1SRF7085UM3HI,18,15,0.8333333333333334,0.9074074074074074,0.8439754689754689,0.8519306305530128,+0.0969025613762,+0.138782397364,+0.127225925712,0.9420289855072465,0.9444444444444443,0.9432098765432099
A3QLUTH89HZQC9,18,15,0.8333333333333334,0.8734222567555899,0.8215989257655925,0.8245718559105981,+0.0629174107244,+0.116405854154,+0.0998671510701,0.9396135265700483,0.9419191919191919,0.9407407407407407
A1DRCRAL9SH5PO,18,15,0.8333333333333334,0.9013888888888888,0.8406084656084657,0.8430573854486898,+0.0908840428577,+0.135415393997,+0.118352680608,0.9420289855072463,0.9444444444444443,0.9432098765432098
A2PO6X5005FNDI,18,15,0.8333333333333334,0.8525252525252525,0.8279320987654321,0.8124841852359014,+0.0420204064941,+0.122739027154,+0.0877794803954,0.9419191919191919,0.9419191919191919,0.9419191919191919
A8EFYHEFE8S9C,18,15,0.8333333333333334,0.8690149356816024,0.834505772005772,0.8289826841397299,+0.0585100896504,+0.129312700394,+0.104277979299,0.9420289855072465,0.9444444444444443,0.9432098765432099
AROEBUDI2L9G9,18,15,0.8333333333333334,0.7902056277056277,0.7230639730639732,0.706470440973365,+-0.0202992183255,+0.0178709014521,+-0.0182342638672,0.9420289855072465,0.9444444444444443,0.9432098765432099
A15Q13YESD28V6,18,15,0.8333333333333334,0.921054131054131,0.8898508898508898,0.8880660120021824,+0.110549285023,+0.184657818239,+0.163361307162,0.9420289855072465,0.9444444444444443,0.9432098765432099
A20MX2GRMYZ3BO,18,15,0.8333333333333334,0.7550973536267656,0.8380130671797339,0.774398482996389,+-0.0554074924044,+0.132819995568,+0.0496937781559,0.9420289855072465,0.9444444444444443,0.9432098765432099
A4H1NYJVE7C53,18,15,0.8333333333333334,0.8840965207631875,0.8500781625781626,0.8493384596602388,+0.073591674732,+0.144885090966,+0.12463375482,0.9420289855072465,0.9444444444444443,0.9432098765432099
A37PBOUXGARPML,18,15,0.8333333333333334,0.8784439634439636,0.7909752284752284,0.8179366557617147,+0.0679391174128,+0.0857821568634,+0.0932319509212,0.9420289855072465,0.9444444444444443,0.9432098765432099
AZZDXA6TV6737,18,15,0.8333333333333334,0.8657327469970492,0.803882074715408,0.8102352894019561,+0.0552279009659,+0.0986890031036,+0.0855305845614,0.9420289855072465,0.9444444444444443,0.9432098765432099
A3KXSP2K60IZMB,18,15,0.8333333333333334,0.9113756613756613,0.8285734327400993,0.851722895450494,+0.100870815344,+0.123380361128,+0.12701819061,0.9420289855072465,0.9444444444444443,0.9432098765432099
A3BBDCU69807T2,18,15,0.8333333333333334,0.8419210419210419,0.8006854256854258,0.7821857453577884,+0.0314161958899,+0.0954923540736,+0.0574810405173,0.9420289855072465,0.9444444444444443,0.9432098765432099
A3QUWIT972BYUH,18,15,0.8333333333333334,0.7133377425044092,0.8293350168350169,0.7189439835763365,+-0.0971671035268,+0.124141945223,+-0.00576072126419,0.9420289855072465,0.9444444444444443,0.9432098765432099
AL83KKXUORS9Y,18,15,0.8333333333333334,0.8210305126971794,0.6338383838383838,0.6866708015830822,+0.010525666666,+-0.0713546877735,+-0.0380339032574,0.9420289855072465,0.9444444444444443,0.9432098765432099
A2ZRJMJTE6ID97,18,15,0.8333333333333334,0.9420289855072465,0.9444444444444443,0.9432098765432099,+0.131524139476,+0.239251372833,+0.218505171703,0.9420289855072465,0.9444444444444443,0.9432098765432099
A2HNL20X0Q9BP0,18,15,0.8333333333333334,0.8121345029239766,0.8326819785153119,0.8052936986760516,+0.00162965689281,+0.127488906903,+0.0805889938355,0.9420289855072465,0.9444444444444443,0.9432098765432099
A17JNO43TQ6DZT,18,15,0.8333333333333334,0.9039264828738512,0.8484247234247234,0.859233449477352,+0.0934216368427,+0.143231651813,+0.134528744637,0.9420289855072465,0.9444444444444443,0.9432098765432099
A5ACBHV38DICN,18,15,0.8333333333333334,0.8647497832280442,0.8675444925444926,0.8473104056437389,+0.0542449371969,+0.162351420933,+0.122605700803,0.9420289855072465,0.9444444444444443,0.9432098765432099
A2NSYLARWXDBCL,18,15,0.8333333333333334,0.8938746438746439,0.7646404521404521,0.796039205716625,+0.0833697978435,+0.0594473805286,+0.0713345008761,0.9420289855072465,0.9285714285714284,0.9339506172839506
