pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
cmn-WL-8-89585-7834330-19-5,cmn-WL-8-89585-7834330,19,HITInput,"To me , the scene of circles appearing before my eyes no longer has any other function except for inducing the effect of dizziness caused by radiation .",The eye-full of circles makes you nothing else but dizzy .,"to me , the scene of circle appear before my eye no longer have any other function except for induce the effect of dizziness cause by radiation .",the eye-full of circle make you nothing else but dizzy .,0.8787878787878788,17,27-10 5-2 21-4 10-1 23-9 6-3,,,,,,,
chtb_232-10-35,chtb_232,10,HITInput,The discovery of dinosaur skeleton fossils has offered important clues in terms of fossil regional distribution and burying patterns of fossils to further seek seeking dinosaur fossils .,The discoveries also provide new clues for seeking more dinosaur fossils .,the discovery of dinosaur skeleton fossil have offer important clue in term of fossil regional distribution and bury pattern of fossil to further seek seek dinosaur fossil .,the discovery also provide new clue for seek more dinosaur fossil .,0.7307692307692308,16,7-3 0-0 27-11 1-1 25-9 24-7 26-10 9-5,,,,,,,
urd-NG-102-174502-11516120-post214-5-0,urd-NG-102-174502-11516120-post214,5,HITInput,Hit on the head with full force and then do n't even let weep over it . Inflicting all-around abuse and wo n't let you complain either .,They beat us and we are n't even allowed to cry .,hit on the head with full force and then do n't even let weep over it . inflict all-around abuse and wo n't let you complain either .,they beat u and we be n't even allow to cry .,0.875,16,9-5 27-11 7-3 11-7 12-8 13-10 10-6 0-1,,,,,,,
urd-NG-102-174502-11516146-post144-6-4,urd-NG-102-174502-11516146-post144,6,HITInput,"A justification is being created that if we are not here , then the terrorists and fanatics will take over the reign of government .",And in order to justify remaining in power .,"a justification be be create that if we be not here , then the terrorist and fanatic will take over the reign of government .",and in order to justify remain in power .,0.9285714285714286,16,24-8 1-4,,,,,,,
urd-NG-102-174502-11516120-post214-5-0,urd-NG-102-174502-11516120-post214,5,HITInput,Hit on the head with full force and then do n't even let weep over it . Inflicting all-around abuse and wo n't let you complain either .,They beat us and we are n't even allowed to cry .,hit on the head with full force and then do n't even let weep over it . inflict all-around abuse and wo n't let you complain either .,they beat u and we be n't even allow to cry .,0.875,16,9-5 27-11 7-3 11-7 12-8 13-10 10-6 0-1,,,,,,,
urd-NG-102-174502-11516146-post144-6-4,urd-NG-102-174502-11516146-post144,6,HITInput,"A justification is being created that if we are not here , then the terrorists and fanatics will take over the reign of government .",And in order to justify remaining in power .,"a justification be be create that if we be not here , then the terrorist and fanatic will take over the reign of government .",and in order to justify remain in power .,0.9285714285714286,16,24-8 1-4,,,,,,,
urd-WL-72-174253-7562183-28-1,urd-WL-72-174253-7562183,28,HITInput,They neither believe in the doomsday nor in accountability .,"They do n't believe that Judgment Day will come , nor do they believe they will be asked for an accounting of their lives .",they neither believe in the doomsday nor in accountability .,"they do n't believe that judgment day will come , nor do they believe they will be ask for an accounting of their life .",0.84,15,9-24 2-3 8-20 0-0,,,,,,,
artb_557-2-30,artb_557,2,HITInput,London October 9/XinhuaCouncil of British Muslims denounced today US-led air strikes against Afghanistan .,"London , October 9 ( Xinhua ) - The Muslim Council of Britain declared its opposition to the air strikes carried out today by the US against Afghanistan .",london october 9/xinhuacouncil of british muslim denounce today us-led air strike against afghanistan .,"london , october 9 ( xinhua ) - the muslim council of britain declare it opposition to the air strike carry out today by the u against afghanistan .",0.6774193548387097,15,13-28 1-2 0-0 7-22 11-26 10-19 5-9 4-12 3-11 9-18 12-27,,,,,,,
urd-NG-102-174502-11516120-post214-5-1,urd-NG-102-174502-11516120-post214,5,HITInput,Hit on the head with full force and then do n't even let weep over it . Inflicting all-around abuse and wo n't let you complain either .,The powerful man beats and then does not let the victim weep .,hit on the head with full force and then do n't even let weep over it . inflict all-around abuse and wo n't let you complain either .,the powerful man beat and then do not let the victim weep .,0.7586206896551724,15,13-11 27-12 9-6 0-3 7-4 12-8 8-5 10-7,,,,,,,
chtb_305-8-9,chtb_305,8,HITInput,"In his opinion , the documents signed by the two parties are of great importance to strengthening the good neighborly relations and friendly cooperation between the two countries .",He thought the documents just signed are important for good-neighborliness and friendly cooperation .,"in his opinion , the document sign by the two party be of great importance to strengthen the good neighborly relation and friendly cooperation between the two country .",he think the document just sign be important for good-neighborliness and friendly cooperation .,0.7419354838709677,15,22-11 14-7 19-9 5-3 4-2 23-12 28-13 6-5 21-10,,,,,,,
groups.yahoo.com_Yamuslim_9260_ARB_20060210_130300-28-4,groups.yahoo.com_Yamuslim_9260_ARB_20060210_130300,28,HITInput,"So the Prophet , God 's prayer and peace be upon Him , said to him : `` More than your son , Omar ? ''","The Prophet replied : More than your son , Omar ?","so the prophet , god 's prayer and peace be upon him , say to him : `` more than your son , omar ? ''","the prophet reply : more than your son , omar ?",0.5833333333333333,15,23-9 24-10 19-5 1-0 20-6 2-1 18-4 21-7 22-8,,,,,,,
urd-NG-102-174502-11516146-post144-6-5,urd-NG-102-174502-11516146-post144,6,HITInput,"So that a justification may be created that if we are not here , these beasts and brutes will take over the government .",And in order to justify remaining in power .,"so that a justification may be create that if we be not here , these beast and brute will take over the government .",and in order to justify remain in power .,0.9285714285714286,15,23-8 3-4,,,,,,,
urd-NG-102-174502-11516120-post214-5-1,urd-NG-102-174502-11516120-post214,5,HITInput,Hit on the head with full force and then do n't even let weep over it . Inflicting all-around abuse and wo n't let you complain either .,The powerful man beats and then does not let the victim weep .,hit on the head with full force and then do n't even let weep over it . inflict all-around abuse and wo n't let you complain either .,the powerful man beat and then do not let the victim weep .,0.7586206896551724,15,13-11 27-12 9-6 0-3 7-4 12-8 8-5 10-7,,,,,,,
urd-NG-102-174502-11516146-post144-6-5,urd-NG-102-174502-11516146-post144,6,HITInput,"So that a justification may be created that if we are not here , these beasts and brutes will take over the government .",And in order to justify remaining in power .,"so that a justification may be create that if we be not here , these beast and brute will take over the government .",and in order to justify remain in power .,0.9285714285714286,15,23-8 3-4,,,,,,,
XIN20020410.0043-5-4,XIN20020410.0043,5,HITInput,Syria has beaten Iran with a score of 110:92 and the Iran team ended in the third place in basketball .,Syria defeated Iran by 110:92 .,syria have beat iran with a score of 110:92 and the iran team end in the third place in basketball .,syria defeat iran by 110:92 .,0.8,15,8-4 0-0 2-1 20-5 3-2,,,,,,,
chtb_232-10-41,chtb_232,10,HITInput,The discoveries also provide new clues for seeking more dinosaur fossils .,The discovery of the dinosaur fossils also provides important hints for where researchers should look for additional fossils and how these bones fossils were buried .,the discovery also provide new clue for seek more dinosaur fossil .,the discovery of the dinosaur fossil also provide important hint for where researcher should look for additional fossil and how these bone fossil be bury .,0.6923076923076923,14,6-10 0-0 9-4 1-1 11-25 7-14 5-9 3-7 4-16 2-6 10-5,,,,,,,
